title,text,rating,author,date,verified,location
Highly recommend ,"Always very quick delivery and friendly. Would highly recommend this site for purchasing animal crossing stuff, always my go too",5,Sophie,2026-01-28T16:50:14.000Z,False,GB
Delivery was very fast ,Delivery was very fast. Had an estimate of 15 minutes and it was less then 5. 10/10 will use this service again for any animal crossing needs ,5,Consumer,2026-01-28T13:24:22.000Z,False,AU
Great fast service and superb customerâ€¦,Great fast service and superb customer support ,5,Popeyebear,2026-01-28T12:19:13.000Z,False,GB
Been using NM for about 5 years now inâ€¦,"Been using NM for about 5 years now in total, never had any problems or major issues, everyone is so kind and lovely, the free gifts definitely make it worthwhile and everything is decently priced! 100/100",5,Catarina Botto,2026-01-28T09:49:27.000Z,False,GB
Kichi made my experience amazing,"Kichi made my experience amazing, they were super kind, held onto the villager I wanted when I didn't have a plot ready, and was just amazing. ",5,Caitlin Fletcher,2026-01-28T07:28:05.000Z,False,US
Amazing!,Service was super quick and to the point! I would definitely recommend this to my feiends that play acnh! Thanks so much again! <3,5,Jessica Cantrell,2026-01-28T04:53:10.000Z,False,US
Oh my goodness 10/10 EVERY SINGLE TIME,"Oh my goodness 10/10 EVERY SINGLE TIME. 

This time my Internet went out and they were able to work with me and be patient with me while I got it figured out so they could come over to my island!!!
Kichi is AMAZING ",5,Malinda,2026-01-28T04:40:58.000Z,False,US
10/10,Honestly didnâ€™t know this was a thing and Iâ€™ve been playing AC since 2019â€¦ and gave up on it after losing and having to redo my island 3 timesðŸ˜‚ðŸ˜­ so finding nookmart is gonna help me get back to normal without having to grind like I did past when having to redo my stuff. Definitely recommend ,5,Casey Brown,2026-01-28T03:53:48.000Z,False,US
Well,"Well, since I know that the new update brings a ton of traffic,  I think they were fast. And they have a variety of products to choose from. Will buy from them again. ",5,Jessica Lugo,2026-01-28T03:29:39.000Z,False,PR
Quick delivery and received extra goldâ€¦,"Quick delivery and received extra gold nuggets. Was skeptical at first, but turned out to be a real service! So cool! ",5,Crystal C,2026-01-28T02:48:16.000Z,False,US
High quality performance,"High quality performance, delivered in less than 30 minutes",5,Veronica Watkins,2026-01-28T02:36:39.000Z,False,US
Was very skeptical at first butâ€¦,"Was very skeptical at first but I actually really enjoyed it and it was very genuine and exciting, the person who delivered was Mochi she was very cute and very nice and even gave a couple extra gifts that I love very much",5,Enrique Juan Reyes,2026-01-28T01:55:56.000Z,False,US
love it love it love it!!!!,"service was really quick and Squid was so kind! it was honestly such a kool experience as my first time trying it out! definitely will be using again in the future! i love my ketchup! ðŸ…ðŸ¤
thank you thank you!!!",5,Sara Lopez,2026-01-28T01:30:35.000Z,False,US
another great delivery,another great delivery! 10/10,5,dahlia,2026-01-28T01:20:45.000Z,False,US
Excellent service and speed,"Excellent service and speed! Realized I was missing 2 DIYs, contacted them and they were back on my island within 5 minutes! Would highly recommend!!",5,Katie Conley,2026-01-28T01:01:40.000Z,False,US
Super quick delivery,"Super quick delivery, great communication.",5,Chunky Alfredo,2026-01-28T00:58:27.000Z,False,US
Incredibly Reliable and Quick,"With how much i bought of the bells and nook mile tickets it was a reasonable wait and the drop off process was quick and easy which i appreciate,,, will definitely buy more stuff in the future ",5,Kasandra Urbina,2026-01-28T00:42:08.000Z,False,US
Very niceðŸ’•,Very sweet and quick interaction!!ðŸ’•,5,Genesis Perez,2026-01-27T22:24:10.000Z,False,US
Awesome,Awesome! Quick no hassle at all. ,5,Bailey Watson,2026-01-27T22:19:05.000Z,False,US
It was quick and easy,It was quick and easy. Great service! ,5,Molly Parham,2026-01-27T22:15:13.000Z,False,US
